food_item,calories,contents
Biryani,320,Rice;Chicken;Spices;Oil;Onion
Dosa,168,Rice batter;Urad dal;Oil
Samosa,250,Potatoes;Peas;Flour;Oil;Spices
Idli,58,Rice;Urad dal
Pani puri,240,Wheat;Potato;Chickpeas;Spices
rasgulla,300,milk;sugar;oil;water
bhatura,260,flour;oil;salt;water
Aloo_matar,250,Potato;Green peas;Tomato;Oil;Spices
Besan_cheela,180,Besan;Onion;Chilli;Oil;Spices
Biryani,320,Rice;Chicken;Spices;Oil;Onion
Chapathi,120,Wheat flour;Water;Salt
Chole_bature,450,Chickpeas;Tomato;Spices;Flour;Oil
Dahl,150,Lentils;Turmeric;Cumin;Oil;Salt
Dhokla,160,Gram flour;Curd;Eno;Oil;Spices
Dosa,168,Rice batter;Urad dal;Oil
Gulab_jamun,300,Milk solids;Sugar;Ghee;Flour
Idli,58,Rice;Urad dal
Jalebi,310,Flour;Sugar;Oil
Kadai_paneer,320,Paneer;Capsicum;Tomato;Oil;Spices
Naan,260,Flour;Yeast;Curd;Salt;Oil
Paani_puri,240,Wheat;Potato;Chickpeas;Spices
Pakoda,280,Gram flour;Onion;Chilli;Oil;Spices
Pav_bhaji,350,Potato;Peas;Tomato;Butter;Spices
Poha,180,Flattened rice;Onion;Peas;Oil;Spices
Rolls,300,Flour;Vegetables/Chicken;Sauce;Oil
Samosa,250,Potatoes;Peas;Flour;Oil;Spices
